First name,Last name,Gender,Email,Salary,Rank,Unit,Position,Station
LYDIA,CANNON,FEMALE,lydia.cannon@garda.ie,€56713,SUPERINTENDENT,CYBER CRIME,TRAINING INSTRUCTOR,DUBLIN
MICHAEL,TORRES,MALE,michael.torres@garda.ie,€77719,CHIEF SUPERINTENDENT,CYBER CRIME,COUNTER TERRORISM AND INTELLIGENCE OFFICER,GALWAY
JEREMIAH,ANDERSON,MALE,jeremiah.anderson@garda.ie,€50545,SERGEANT,SPECIAL OPERATIONS UNIT,PATROL OFFICER,GALWAY
CARL,MORROW,MALE,carl.morrow@garda.ie,€65537,GARDA,CYBER CRIME,COUNTER TERRORISM AND INTELLIGENCE OFFICER,WATERFORD
ADRIAN,JAMES,MALE,adrian.james@garda.ie,€40698,SERGEANT,PATROL UNIT,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,GALWAY
ALEXIS,TERRY,FEMALE,alexis.terry@garda.ie,€31363,INSPECTOR,CYBER CRIME,SUPERVISOR,DUBLIN
BRIAN,WILLIAMS,MALE,brian.williams@garda.ie,€91460,GARDA,TRAFFIC UNIT,IMMIGRATION OFFICER,DUBLIN
LEE,GARZA,MALE,lee.garza@garda.ie,€38987.4,SUPERINTENDENT,NARCOTICS UNIT,ADMINISTRATOR,WATERFORD
JOAN,WILLIAMS,FEMALE,joan.williams@garda.ie,€97505,CHIEF SUPERINTENDENT,CRIME PREVENTION,ADMINISTRATOR,LIMERICK
NATALIE,SIMPSON,FEMALE,natalie.simpson@garda.ie,€60667,CHIEF SUPERINTENDENT,SPECIAL OPERATIONS UNIT,DETECTIVE,CORK
RYAN,HOWELL,MALE,ryan.howell@garda.ie,€34481,GARDA,CRIME PREVENTION,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,CORK
NICHOLAS,EVANS,MALE,nicholas.evans@garda.ie,€34969,GARDA,CRIME PREVENTION,DETECTIVE,DUBLIN
DANIELLE,PHILLIPS,FEMALE,danielle.phillips@garda.ie,€34960,SERGEANT,CYBER CRIME,COUNTER TERRORISM AND INTELLIGENCE OFFICER,LIMERICK
MICHAEL,JOHNSON,MALE,michael.johnson@garda.ie,€67746,CHIEF SUPERINTENDENT,SPECIAL OPERATIONS UNIT,SUPERVISOR,LIMERICK
LAURA,LEE,FEMALE,laura.lee@garda.ie,€43328,GARDA,MAYOR CRIMES,CRIME PREVENTION OFFICER,LIMERICK
LESLIE,DAVIS,FEMALE,leslie.davis@garda.ie,€62691,GARDA,TRAFFIC UNIT,PATROL OFFICER,LIMERICK
ANGELA,SCHWARTZ,FEMALE,angela.schwartz@garda.ie,€86041,GARDA,CRIME PREVENTION,SUPERVISOR,CORK
DIANA,ANDERSON,FEMALE,diana.anderson@garda.ie,€39812,SERGEANT,CYBER CRIME,IMMIGRATION OFFICER,CORK
CAMERON,MEYER,MALE,cameron.meyer@garda.ie,€61019,CHIEF SUPERINTENDENT,TRAFFIC UNIT,PATROL OFFICER,WATERFORD
RICHARD,PATTON,MALE,richard.patton@garda.ie,€97829,SERGEANT,NARCOTICS UNIT,SCENES OF CRIME OFFICER,LIMERICK
MARY,STEIN,FEMALE,mary.stein@garda.ie,€44962,SUPERINTENDENT,PATROL UNIT,SPECIALIST,LIMERICK
