firstName,lastName,gender,email,salary,unit,rank,position,station
ROISIN,MCGRATH,FEMALE,roisin.mcgrath@garda.ie,€9950.00,TRAFFIC UNIT,SUPERINTENDENT,SUPERVISOR,CORK
CHARLOTTE,COLLINS,MALE,charlotte.collins@garda.ie,€9291.00,SPECIAL DETECTIVE UNIT,DEPUTY COMMISSIONER,CRIME PREVENTION OFFICER,CORK
PATRICK,MOORE,MALE,patrick.moore@garda.ie,€9342.00,PATROL UNIT,COMMISSIONER,PATROL OFFICER,CORK
OLIVIA,OCRAINE,MALE,olivia.ocraine@garda.ie,€4923.00,CRIME PREVENTION,SUPERINTENDENT,SPECIALIST,DUBLIN
RACHEL,BYRNE,MALE,rachel.byrne@garda.ie,€10926.00,TRAFFIC UNIT,ASSISTANT COMMISSIONER,SUPERVISOR,WATERFORD
LIAM,WALSH,FEMALE,liam.walsh@garda.ie,€12625.00,SPECIAL OPERATIONS UNIT,ASSISTANT COMMISSIONER,TRAINING INSTRUCTOR,GALWAY
EMMA,NOLAN,MALE,emma.nolan@garda.ie,€12053.00,CYBER CRIME,GARDA,IMMIGRATION OFFICER,CORK
KATIE,MCNAMARA,MALE,katie.mcnamara@garda.ie,€8149.00,PATROL UNIT,COMMISSIONER,TRAINING INSTRUCTOR,CORK
NOAH,OQUINN,FEMALE,noah.oquinn@garda.ie,€7496.00,SPECIAL OPERATIONS UNIT,SERGEANT,SPECIALIST,CORK
BENJAMIN,FLYNN,FEMALE,benjamin.flynn@garda.ie,€4974.00,PATROL UNIT,ASSISTANT COMMISSIONER,IMMIGRATION OFFICER,LIMERICK
AVA,FINN,MALE,ava.finn@garda.ie,€6671.00,NARCOTICS UNIT,COMMISSIONER,TRAINING INSTRUCTOR,DUBLIN
DYLAN,WALSH,FEMALE,dylan.walsh@garda.ie,€4129.00,SPECIAL OPERATIONS UNIT,COMMISSIONER,SPECIALIST,GALWAY
COLIN,NOLAN,FEMALE,colin.nolan@garda.ie,€11505.00,SPECIAL OPERATIONS UNIT,INSPECTOR,CRIME PREVENTION OFFICER,WATERFORD
AOIFE,SCANLON,FEMALE,aoife.scanlon@garda.ie,€8934.00,NARCOTICS UNIT,COMMISSIONER,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,GALWAY
JAMES,MCGRATH,FEMALE,james.mcgrath@garda.ie,€5762.00,SPECIAL DETECTIVE UNIT,SERGEANT,DETECTIVE,DUBLIN
SEAN,BOYLE,FEMALE,sean.boyle@garda.ie,€3794.00,SPECIAL DETECTIVE UNIT,DEPUTY COMMISSIONER,CRIME PREVENTION OFFICER,CORK
EVELYN,KELLY,FEMALE,evelyn.kelly@garda.ie,€12523.00,CRIME PREVENTION,GARDA,PATROL OFFICER,DUBLIN
GRACE,KIRWAN,FEMALE,grace.kirwan@garda.ie,€4557.00,CRIME PREVENTION,DEPUTY COMMISSIONER,ADMINISTRATOR,GALWAY
WILLIAM,OFLAHERTY,FEMALE,william.oflaherty@garda.ie,€3233.00,TRAFFIC UNIT,GARDA,IMMIGRATION OFFICER,CORK
NOAH,MCCARTHY,MALE,noah.mccarthy@garda.ie,€3964.00,PATROL UNIT,CHIEF SUPERINTENDENT,SPECIALIST,GALWAY
EOIN,OBRIEN,MALE,eoin.obrien@garda.ie,€6044.00,CRIME PREVENTION,GARDA,IMMIGRATION OFFICER,WATERFORD
ORLA,FARRELL,FEMALE,orla.farrell@garda.ie,€6119.00,MAYOR CRIMES,COMMISSIONER,IMMIGRATION OFFICER,LIMERICK
EOIN,FLYNN,MALE,eoin.flynn@garda.ie,€12209.00,SPECIAL OPERATIONS UNIT,GARDA,SUPERVISOR,LIMERICK
EMMA,OCRAINE,FEMALE,emma.ocraine@garda.ie,€12684.00,CYBER CRIME,CHIEF SUPERINTENDENT,PATROL OFFICER,DUBLIN
SIOBHAN,REDMOND,MALE,siobhan.redmond@garda.ie,€3845.00,MAYOR CRIMES,SUPERINTENDENT,IMMIGRATION OFFICER,CORK
SEAN,COLLINS,MALE,sean.collins@garda.ie,€5344.00,CYBER CRIME,INSPECTOR,DETECTIVE,GALWAY
AMY,MULVIHILL,FEMALE,amy.mulvihill@garda.ie,€12388.00,MAYOR CRIMES,GARDA,DETECTIVE,LIMERICK
NIALL,MCGRATH,MALE,niall.mcgrath@garda.ie,€10160.00,SPECIAL OPERATIONS UNIT,CHIEF SUPERINTENDENT,DETECTIVE,GALWAY
ROISIN,MULVIHILL,FEMALE,roisin.mulvihill@garda.ie,€10606.00,TRAFFIC UNIT,SUPERINTENDENT,SCENES OF CRIME OFFICER,GALWAY
LIAM,COSTELLO,MALE,liam.costello@garda.ie,€7346.00,TRAFFIC UNIT,INSPECTOR,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,WATERFORD
RACHEL,CAHILL,MALE,rachel.cahill@garda.ie,€3291.00,MAYOR CRIMES,DEPUTY COMMISSIONER,SPECIALIST,WATERFORD
MIA,MORAN,MALE,mia.moran@garda.ie,€12606.00,NARCOTICS UNIT,COMMISSIONER,PATROL OFFICER,CORK
MIA,BURKE,MALE,mia.burke@garda.ie,€5456.00,TRAFFIC UNIT,GARDA,IMMIGRATION OFFICER,CORK
LEAH,DEVLIN,MALE,leah.devlin@garda.ie,€12266.00,MAYOR CRIMES,INSPECTOR,SPECIALIST,DUBLIN
COLIN,KENNEDY,FEMALE,colin.kennedy@garda.ie,€11668.00,PATROL UNIT,CHIEF SUPERINTENDENT,IMMIGRATION OFFICER,LIMERICK
AMY,BRENNAN,MALE,amy.brennan@garda.ie,€5724.00,NARCOTICS UNIT,INSPECTOR,PATROL OFFICER,LIMERICK
AMY,BOYLE,MALE,amy.boyle@garda.ie,€6749.00,NARCOTICS UNIT,COMMISSIONER,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,DUBLIN
EMMA,CONNOLLY,MALE,emma.connolly@garda.ie,€5499.00,SPECIAL OPERATIONS UNIT,CHIEF SUPERINTENDENT,SPECIALIST,GALWAY
SARAH,COSTELLO,FEMALE,sarah.costello@garda.ie,€12339.00,CRIME PREVENTION,INSPECTOR,ADMINISTRATOR,DUBLIN
NIALL,CASEY,FEMALE,niall.casey@garda.ie,€5565.00,MAYOR CRIMES,DEPUTY COMMISSIONER,TRAINING INSTRUCTOR,CORK
DYLAN,MAHONY,FEMALE,dylan.mahony@garda.ie,€9419.00,MAYOR CRIMES,COMMISSIONER,ADMINISTRATOR,WATERFORD
RACHEL,OFLAHERTY,FEMALE,rachel.oflaherty@garda.ie,€10217.00,TRAFFIC UNIT,GARDA,SCENES OF CRIME OFFICER,GALWAY
OLIVIA,FITZPATRICK,FEMALE,olivia.fitzpatrick@garda.ie,€10669.00,NARCOTICS UNIT,DEPUTY COMMISSIONER,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,CORK
CONNOR,OCRAIG,MALE,connor.ocraig@garda.ie,€5030.00,CRIME PREVENTION,DEPUTY COMMISSIONER,SPECIALIST,LIMERICK
CIARAN,CLARKE,FEMALE,ciaran.clarke@garda.ie,€4318.00,SPECIAL DETECTIVE UNIT,SERGEANT,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,WATERFORD
NIAMH,KELLY,FEMALE,niamh.kelly@garda.ie,€10329.00,TRAFFIC UNIT,SUPERINTENDENT,TRAINING INSTRUCTOR,CORK
SIOBHAN,MURRAY,MALE,siobhan.murray@garda.ie,€3428.00,PATROL UNIT,CHIEF SUPERINTENDENT,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,DUBLIN
ISABELLA,KAVANAGH,MALE,isabella.kavanagh@garda.ie,€4217.00,CYBER CRIME,SUPERINTENDENT,TRAINING INSTRUCTOR,GALWAY
KATIE,HEALY,FEMALE,katie.healy@garda.ie,€4232.00,SPECIAL DETECTIVE UNIT,SUPERINTENDENT,SUPERVISOR,GALWAY
EMMA,REILLY,MALE,emma.reilly@garda.ie,€6445.00,SPECIAL OPERATIONS UNIT,SERGEANT,TRAINING INSTRUCTOR,DUBLIN
ROISIN,MCGRATH,FEMALE,roisin.mcgrath@garda.ie,€9950.00,TRAFFIC UNIT,SUPERINTENDENT,SUPERVISOR,CORK
CHARLOTTE,COLLINS,MALE,charlotte.collins@garda.ie,€9291.00,SPECIAL DETECTIVE UNIT,DEPUTY COMMISSIONER,CRIME PREVENTION OFFICER,CORK
PATRICK,MOORE,MALE,patrick.moore@garda.ie,€9342.00,PATROL UNIT,COMMISSIONER,PATROL OFFICER,CORK
OLIVIA,OCRAINE,MALE,olivia.ocraine@garda.ie,€4923.00,CRIME PREVENTION,SUPERINTENDENT,SPECIALIST,DUBLIN
RACHEL,BYRNE,MALE,rachel.byrne@garda.ie,€10926.00,TRAFFIC UNIT,ASSISTANT COMMISSIONER,SUPERVISOR,WATERFORD
LIAM,WALSH,FEMALE,liam.walsh@garda.ie,€12625.00,SPECIAL OPERATIONS UNIT,ASSISTANT COMMISSIONER,TRAINING INSTRUCTOR,GALWAY
EMMA,NOLAN,MALE,emma.nolan@garda.ie,€12053.00,CYBER CRIME,GARDA,IMMIGRATION OFFICER,CORK
KATIE,MCNAMARA,MALE,katie.mcnamara@garda.ie,€8149.00,PATROL UNIT,COMMISSIONER,TRAINING INSTRUCTOR,CORK
NOAH,OQUINN,FEMALE,noah.oquinn@garda.ie,€7496.00,SPECIAL OPERATIONS UNIT,SERGEANT,SPECIALIST,CORK
BENJAMIN,FLYNN,FEMALE,benjamin.flynn@garda.ie,€4974.00,PATROL UNIT,ASSISTANT COMMISSIONER,IMMIGRATION OFFICER,LIMERICK
AVA,FINN,MALE,ava.finn@garda.ie,€6671.00,NARCOTICS UNIT,COMMISSIONER,TRAINING INSTRUCTOR,DUBLIN
DYLAN,WALSH,FEMALE,dylan.walsh@garda.ie,€4129.00,SPECIAL OPERATIONS UNIT,COMMISSIONER,SPECIALIST,GALWAY
COLIN,NOLAN,FEMALE,colin.nolan@garda.ie,€11505.00,SPECIAL OPERATIONS UNIT,INSPECTOR,CRIME PREVENTION OFFICER,WATERFORD
AOIFE,SCANLON,FEMALE,aoife.scanlon@garda.ie,€8934.00,NARCOTICS UNIT,COMMISSIONER,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,GALWAY
JAMES,MCGRATH,FEMALE,james.mcgrath@garda.ie,€5762.00,SPECIAL DETECTIVE UNIT,SERGEANT,DETECTIVE,DUBLIN
SEAN,BOYLE,FEMALE,sean.boyle@garda.ie,€3794.00,SPECIAL DETECTIVE UNIT,DEPUTY COMMISSIONER,CRIME PREVENTION OFFICER,CORK
EVELYN,KELLY,FEMALE,evelyn.kelly@garda.ie,€12523.00,CRIME PREVENTION,GARDA,PATROL OFFICER,DUBLIN
GRACE,KIRWAN,FEMALE,grace.kirwan@garda.ie,€4557.00,CRIME PREVENTION,DEPUTY COMMISSIONER,ADMINISTRATOR,GALWAY
WILLIAM,OFLAHERTY,FEMALE,william.oflaherty@garda.ie,€3233.00,TRAFFIC UNIT,GARDA,IMMIGRATION OFFICER,CORK
NOAH,MCCARTHY,MALE,noah.mccarthy@garda.ie,€3964.00,PATROL UNIT,CHIEF SUPERINTENDENT,SPECIALIST,GALWAY
EOIN,OBRIEN,MALE,eoin.obrien@garda.ie,€6044.00,CRIME PREVENTION,GARDA,IMMIGRATION OFFICER,WATERFORD
ORLA,FARRELL,FEMALE,orla.farrell@garda.ie,€6119.00,MAYOR CRIMES,COMMISSIONER,IMMIGRATION OFFICER,LIMERICK
EOIN,FLYNN,MALE,eoin.flynn@garda.ie,€12209.00,SPECIAL OPERATIONS UNIT,GARDA,SUPERVISOR,LIMERICK
ALEXANDER,MURRAY,MALE,alexander.murray@garda.ie,€7414.00,CYBER CRIME,COMMISSIONER,IMMIGRATION OFFICER,CORK
ORLA,OCEALLAIGH,FEMALE,orla.oceallaigh@garda.ie,€12502.00,SPECIAL DETECTIVE UNIT,GARDA,ADMINISTRATOR,GALWAY
AMY,MAHONY,MALE,amy.mahony@garda.ie,€9121.00,NARCOTICS UNIT,COMMISSIONER,PATROL OFFICER,GALWAY
SOPHIE,MAGUIRE,FEMALE,sophie.maguire@garda.ie,€11329.00,CRIME PREVENTION,SERGEANT,IMMIGRATION OFFICER,CORK
ELIJAH,MCGOVERN,FEMALE,elijah.mcgovern@garda.ie,€12590.00,NARCOTICS UNIT,ASSISTANT COMMISSIONER,IMMIGRATION OFFICER,WATERFORD
CONNOR,FLYNN,MALE,connor.flynn@garda.ie,€12999.00,CRIME PREVENTION,GARDA,PATROL OFFICER,LIMERICK
ANNA,BRADY,MALE,anna.brady@garda.ie,€10293.00,SPECIAL OPERATIONS UNIT,SUPERINTENDENT,SUPERVISOR,GALWAY
SIOBHAN,OBRIEN,FEMALE,siobhan.obrien@garda.ie,€12221.00,CRIME PREVENTION,COMMISSIONER,TRAINING INSTRUCTOR,DUBLIN
PATRICK,MURRAY,MALE,patrick.murray@garda.ie,€10972.00,PATROL UNIT,CHIEF SUPERINTENDENT,CRIME PREVENTION OFFICER,LIMERICK
HENRY,OHEHIR,FEMALE,henry.ohehir@garda.ie,€11770.00,TRAFFIC UNIT,COMMISSIONER,ADMINISTRATOR,DUBLIN
PATRICK,FITZPATRICK,MALE,patrick.fitzpatrick@garda.ie,€8345.00,CYBER CRIME,ASSISTANT COMMISSIONER,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,GALWAY
LAURA,BURKE,MALE,laura.burke@garda.ie,€4069.00,TRAFFIC UNIT,GARDA,DETECTIVE,GALWAY
NOAH,MULVIHILL,MALE,noah.mulvihill@garda.ie,€6564.00,MAYOR CRIMES,SUPERINTENDENT,PATROL OFFICER,LIMERICK
SEAN,KENNEDY,FEMALE,sean.kennedy@garda.ie,€12997.00,NARCOTICS UNIT,INSPECTOR,SPECIALIST,DUBLIN
SIOBHAN,FITZGERALD,FEMALE,siobhan.fitzgerald@garda.ie,€3410.00,MAYOR CRIMES,DEPUTY COMMISSIONER,SUPERVISOR,GALWAY
EMMA,OBRIEN,FEMALE,emma.obrien@garda.ie,€5135.00,NARCOTICS UNIT,COMMISSIONER,CRIME PREVENTION OFFICER,DUBLIN
LIAM,NOLAN,FEMALE,liam.nolan@garda.ie,€7738.00,CRIME PREVENTION,GARDA,DETECTIVE,CORK
BENJAMIN,WALSH,FEMALE,benjamin.walsh@garda.ie,€9515.00,MAYOR CRIMES,SUPERINTENDENT,TRAINING INSTRUCTOR,GALWAY
COLIN,OCRAIG,MALE,colin.ocraig@garda.ie,€5731.00,PATROL UNIT,COMMISSIONER,TRAINING INSTRUCTOR,CORK
ORLA,COLLINS,MALE,orla.collins@garda.ie,€3374.00,TRAFFIC UNIT,GARDA,TRAINING INSTRUCTOR,GALWAY
NOAH,MCGRATH,MALE,noah.mcgrath@garda.ie,€3347.00,PATROL UNIT,CHIEF SUPERINTENDENT,ADMINISTRATOR,CORK
EMMA,GREENE,FEMALE,emma.greene@garda.ie,€10224.00,PATROL UNIT,GARDA,SCENES OF CRIME OFFICER,CORK
LIAM,DEVLIN,FEMALE,liam.devlin@garda.ie,€10544.00,TRAFFIC UNIT,COMMISSIONER,PATROL OFFICER,WATERFORD
LIAM,MURRAY,FEMALE,liam.murray@garda.ie,€11319.00,SPECIAL OPERATIONS UNIT,CHIEF SUPERINTENDENT,PATROL OFFICER,CORK
JOHN,POWER,MALE,john.power@garda.ie,€12705.00,SPECIAL OPERATIONS UNIT,COMMISSIONER,SUPERVISOR,GALWAY
HARPER,BRADY,MALE,harper.brady@garda.ie,€11480.00,SPECIAL OPERATIONS UNIT,CHIEF SUPERINTENDENT,ADMINISTRATOR,DUBLIN
AMY,DELANEY,MALE,amy.delaney@garda.ie,€7741.00,CRIME PREVENTION,SUPERINTENDENT,SPECIALIST,LIMERICK
EMMA,WALSH,MALE,emma.walsh@garda.ie,€3020.00,TRAFFIC UNIT,COMMISSIONER,ADMINISTRATOR,LIMERICK
AMY,GALLAGHER,FEMALE,amy.gallagher@garda.ie,€7754.00,MAYOR CRIMES,GARDA,DETECTIVE,WATERFORD
JAMES,MORAN,FEMALE,james.moran@garda.ie,€7816.00,MAYOR CRIMES,ASSISTANT COMMISSIONER,ADMINISTRATOR,DUBLIN
OLIVIA,CAHILL,MALE,olivia.cahill@garda.ie,€10159.00,SPECIAL OPERATIONS UNIT,SUPERINTENDENT,ADMINISTRATOR,DUBLIN
SIOBHAN,BRADY,FEMALE,siobhan.brady@garda.ie,€3122.00,SPECIAL DETECTIVE UNIT,CHIEF SUPERINTENDENT,CRIME PREVENTION OFFICER,DUBLIN
RACHEL,MULCAHY,FEMALE,rachel.mulcahy@garda.ie,€10033.00,MAYOR CRIMES,SUPERINTENDENT,SUPERVISOR,DUBLIN
BRENDAN,NOLAN,MALE,brendan.nolan@garda.ie,€12994.00,CYBER CRIME,CHIEF SUPERINTENDENT,SUPERVISOR,CORK
EIMEAR,BYRNE,MALE,eimear.byrne@garda.ie,€11112.00,CRIME PREVENTION,COMMISSIONER,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,WATERFORD
AIDAN,OQUINN,FEMALE,aidan.oquinn@garda.ie,€10830.00,SPECIAL OPERATIONS UNIT,SERGEANT,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,WATERFORD
MATTHEW,LYNCH,FEMALE,matthew.lynch@garda.ie,€11722.00,MAYOR CRIMES,INSPECTOR,CRIME PREVENTION OFFICER,GALWAY
DYLAN,MULVIHILL,FEMALE,dylan.mulvihill@garda.ie,€3228.00,NARCOTICS UNIT,GARDA,TRAINING INSTRUCTOR,CORK
KATIE,BOYLE,MALE,katie.boyle@garda.ie,€7854.00,PATROL UNIT,ASSISTANT COMMISSIONER,PATROL OFFICER,CORK
ROISIN,NOLAN,MALE,roisin.nolan@garda.ie,€5059.00,SPECIAL OPERATIONS UNIT,COMMISSIONER,CRIME PREVENTION OFFICER,LIMERICK
CIARAN,OBRIEN,MALE,ciaran.obrien@garda.ie,€10425.00,NARCOTICS UNIT,SERGEANT,ADMINISTRATOR,CORK
KATIE,POWER,FEMALE,katie.power@garda.ie,€5193.00,SPECIAL DETECTIVE UNIT,SUPERINTENDENT,SCENES OF CRIME OFFICER,WATERFORD
KEVIN,FITZPATRICK,FEMALE,kevin.fitzpatrick@garda.ie,€8868.00,TRAFFIC UNIT,GARDA,CRIME PREVENTION OFFICER,DUBLIN
MIA,LYNCH,MALE,mia.lynch@garda.ie,€7189.00,PATROL UNIT,DEPUTY COMMISSIONER,ADMINISTRATOR,LIMERICK
NOAH,BYRNE,MALE,noah.byrne@garda.ie,€8147.00,CRIME PREVENTION,ASSISTANT COMMISSIONER,SPECIALIST,LIMERICK
SARAH,CARROLL,FEMALE,sarah.carroll@garda.ie,€7149.00,CYBER CRIME,INSPECTOR,IMMIGRATION OFFICER,DUBLIN
AMELIA,BRENNAN,MALE,amelia.brennan@garda.ie,€10606.00,CYBER CRIME,GARDA,SPECIALIST,WATERFORD
EIMEAR,COSTELLO,MALE,eimear.costello@garda.ie,€5944.00,SPECIAL OPERATIONS UNIT,ASSISTANT COMMISSIONER,TRAINING INSTRUCTOR,LIMERICK
HENRY,MURPHY,FEMALE,henry.murphy@garda.ie,€4010.00,CRIME PREVENTION,GARDA,SPECIALIST,CORK
EMMA,REDMOND,FEMALE,emma.redmond@garda.ie,€9452.00,CRIME PREVENTION,ASSISTANT COMMISSIONER,IMMIGRATION OFFICER,DUBLIN
